chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
Senate,89,1965,0.5768471861471862,0.3883495145631068,0.35714285714285715,0.45454545454545453,0.27184466019417475,-0.112456311,0.10345631067961165,-0.297271429,0.33525714285714286,0.2795757575757576,-0.388242424,0.2800344827586207,-0.419344828,0.27625,-0.16275,-0.383395833,0.1166875,-0.109363636,0.8121363636363637
Senate,90,1967,0.55190625,0.38613861386138615,0.34375,0.4594594594594595,0.26732673267326734,-0.096722772,0.060009901,-0.29890625,0.3414375,0.253,-0.426783784,0.25018181818181817,-0.458787879,0.27625,-0.16275,-0.367636364,0.12868181818181817,-0.1477,0.8095
Senate,91,1969,0.5398926332288401,0.39215686274509803,0.3448275862068966,0.45454545454545453,0.18627450980392157,-0.056156863,0.004264706,-0.289051724,0.346,0.2508409090909091,-0.446204545,0.24692105263157896,-0.493368421,0.27566666666666667,-0.1475,-0.362475,0.120075,-0.125888889,0.8480555555555556
Senate,92,1971,0.5199722222222223,0.42718446601941745,0.375,0.4888888888888889,0.13861386138613863,-0.048271845,-0.001873786,-0.28675,0.35578571428571426,0.23322222222222222,-0.458755556,0.2266923076923077,-0.506641026,0.27566666666666667,-0.1475,-0.365378378,0.11151351351351352,-0.133631579,0.8314736842105264
Senate,93,1973,0.5906793145654834,0.3431372549019608,0.2807017543859649,0.4186046511627907,0.1,-0.064647059,0.008686275,-0.325842105,0.2957719298245614,0.26483720930232557,-0.38372093,0.23765714285714287,-0.492942857,0.38375,0.094125,-0.389214286,0.1029047619047619,-0.1484,0.8358
Senate,94,1975,0.5953830888697152,0.32673267326732675,0.26229508196721313,0.42105263157894735,0.090909091,-0.088257426,0.028900990099009902,-0.324540984,0.2748688524590164,0.2708421052631579,-0.378289474,0.2395,-0.477875,0.438,0.15283333333333335,-0.385159091,0.082181818,-0.167647059,0.7735882352941177
Senate,95,1977,0.5886724696356276,0.33653846153846156,0.27692307692307694,0.42105263157894735,0.17475728155339806,-0.100596154,0.044730769230769234,-0.319646154,0.29378461538461537,0.26902631578947367,-0.405578947,0.23734375,-0.51028125,0.438,0.15283333333333335,-0.383956522,0.10276086956521739,-0.163947368,0.7562631578947369
Senate,96,1979,0.5894985531211244,0.3465346534653465,0.288135593,0.4146341463414634,0.05,-0.069554455,0.002465347,-0.312864407,0.26228813559322034,0.27663414634146344,-0.39497561,0.25771428571428573,-0.473628571,0.387,0.063833333,-0.354595238,0.07302381,-0.209764706,0.7298823529411764
Senate,97,1981,0.6097302737520129,0.3465346534653465,0.32608695652173914,0.35185185185185186,0,0.030564356435643567,-0.041118812,-0.299304348,0.2607608695652174,0.31042592592592594,-0.316962963,0.2872727272727273,-0.432863636,0.4123,0.193,-0.333424242,0.081121212,-0.212692308,0.7167692307692308
Senate,98,1983,0.6085806324110672,0.33663366336633666,0.30434782608695654,0.36363636363636365,0,0.030079208,-0.052712871,-0.301326087,0.24667391304347827,0.30725454545454545,-0.303109091,0.28438636363636366,-0.423568182,0.3987272727272727,0.17872727272727273,-0.336242424,0.061484848,-0.212692308,0.7167692307692308
Senate,99,1985,0.6196698187549251,0.31683168316831684,0.2765957446808511,0.35185185185185186,0,0.025712871287128715,-0.051831683,-0.305595745,0.21527659574468086,0.31407407407407406,-0.284314815,0.28765853658536583,-0.422414634,0.3973846153846154,0.15123076923076922,-0.340342857,0.038057143,-0.20425,0.7321666666666666
Senate,100,1987,0.6083201581027669,0.3069306930693069,0.2909090909090909,0.32608695652173914,0,-0.017306931,-0.042980198,-0.294363636,0.20025454545454546,0.3139565217391304,-0.333804348,0.29297368421052633,-0.429842105,0.413625,0.122375,-0.334461538,0.036410256410256414,-0.196625,0.599625
Senate,101,1989,0.6163416149068324,0.29411764705882354,0.30357142857142855,0.2826086956521739,0,-0.015470588,-0.068137255,-0.293428571,0.12326785714285714,0.3229130434782609,-0.301152174,0.296,-0.396459459,0.4335555555555556,0.090666667,-0.326,-0.026780488,-0.2044,0.5334
Senate,102,1991,0.6188769592476489,0.29411764705882354,0.29310344827586204,0.29545454545454547,0,-0.032205882,-0.071686275,-0.299172414,0.10601724137931035,0.31970454545454546,-0.305931818,0.2904285714285714,-0.407914286,0.4335555555555556,0.090666667,-0.332232558,-0.043069767,-0.2044,0.5334
Senate,103,1993,0.6337660818713451,0.27450980392156865,0.2807017543859649,0.26666666666666666,0,-0.016607843,-0.076372549,-0.296210526,0.074298246,0.33755555555555555,-0.267222222,0.2895,-0.41859375,0.45584615384615385,0.10538461538461538,-0.327227273,-0.076704545,-0.191230769,0.5853846153846154
Senate,104,1995,0.6525598484848485,0.23300970873786409,0.25,0.21818181818181817,0,0.046912621359223305,-0.119747573,-0.301541667,0.008541667,0.35101818181818184,-0.231709091,0.31546341463414634,-0.358146341,0.4551428571428571,0.13857142857142857,-0.321947368,-0.141342105,-0.224,0.5781
Senate,105,1997,0.6840565656565657,0.18,0.2,0.16363636363636364,0,0.06572,-0.11993,-0.310511111,-0.049511111,0.37354545454545457,-0.177545455,0.3385897435897436,-0.305307692,0.45875,0.133875,-0.326054054,-0.152513514,-0.238625,0.426875
